Player,Team,Position,Salary,Years,Total Value,Average Annual
"Underwood Jr., Duane",Pittsburgh,RHP,"$725,000 ",,$0 ,$0 
"Murphy, Sean",Oakland,C,"$725,000 ",,$0 ,$0 
"Gott, Trevor",Milwaukee,RHP,"$725,000 ",,$0 ,$0 
"Wick, Rowan",Chi. Cubs,RHP,"$724,000 ",,$0 ,$0 
"Thomas, Lane",Washington,OF,"$723,600 ",,$0 ,$0 
"Bichette, Bo",Toronto,SS,"$723,550 ",,$0 ,$0 
"Edman, Tommy",St. Louis,2B,"$722,900 ",,$0 ,$0 
"Smith, Pavin",Arizona,1B,"$722,900 ",,$0 ,$0 
"King, Michael",N.Y. Yankees,RHP,"$722,500 ",,$0 ,$0 
"Helsley, Ryan",St. Louis,RHP,"$722,450 ",,$0 ,$0 
"Soto, Gregory",Detroit,LHP,"$722,400 ",,$0 ,$0 
"McGuire, Reese",Chic. White Sox,C,"$722,400 ",,$0 ,$0 
"Rogers, Trevor",Miami,LHP,"$722,000 ",,$0 ,$0 
"Varsho, Daulton",Arizona,OF,"$721,700 ",,$0 ,$0 
"Crismatt, Nabil",San Diego,RHP,"$721,500 ",,$0 ,$0 
"Stashak, Cody",Minnesota,RHP,"$720,400 ",,$0 ,$0 
"Trevino, Jose",N.Y. Yankees,C,"$720,000 ",,$0 ,$0 
"Adell, Jordon",L.A. Angels,OF,"$720,000 ",,$0 ,$0 
"Herget, Jimmy",L.A. Angels,RHP,"$720,000 ",,$0 ,$0 
"Mayfield, Jack",L.A. Angels,INF,"$720,000 ",,$0 ,$0 
"Quijada, Jose",L.A. Angels,LHP,"$720,000 ",,$0 ,$0 
"Sandoval, Patrick",L.A. Angels,LHP,"$720,000 ",,$0 ,$0 
"Suarez, Jose",L.A. Angels,LHP,"$720,000 ",,$0 ,$0 
"Ward, Taylor",L.A. Angels,OF,"$720,000 ",,$0 ,$0 
"Gonsolin, Anthony",L.A. Dodgers,RHP,"$720,000 ",,$0 ,$0 
"Gonzalez, Victor",L.A. Dodgers,LHP,"$720,000 ",,$0 ,$0 
"Graterol, Brusdar",L.A. Dodgers,RHP,"$720,000 ",,$0 ,$0 
"Lux, Gavin",L.A. Dodgers,2B,"$720,000 ",,$0 ,$0 
"Phillips, Evan",L.A. Dodgers,RHP,"$720,000 ",,$0 ,$0 
"Vesia, Alex",L.A. Dodgers,LHP,"$720,000 ",,$0 ,$0 
"Wright, Kyle",Atlanta,RHP,"$720,000 ",,$0 ,$0 
"Ynoa, Huascar",Atlanta,RHP,"$720,000 ",,$0 ,$0 
"Hoerner, Nico",Chi. Cubs,SS,"$720,000 ",,$0 ,$0 
"Davis, Austin",Boston,LHP,"$720,000 ",,$0 ,$0 
"Whitlock, Garrett",Boston,RHP,"$720,000 ",,$0 ,$0 
"Ruiz, Jose",Chic. White Sox,RHP,"$720,000 ",,$0 ,$0 
"Antone, Tejay",Cincinnati,RHP,"$720,000 ",,$0 ,$0 
"Aquino, Aristides",Cincinnati,OF,"$720,000 ",,$0 ,$0 
"Dunn, Justin",Cincinnati,RHP,"$720,000 ",,$0 ,$0 
"Stephenson, Tyler",Cincinnati,C,"$720,000 ",,$0 ,$0 
"Allard, Kolby",Texas,LHP,"$720,000 ",,$0 ,$0 
"Hernandez, Jonathan",Texas,RHP,"$720,000 ",,$0 ,$0 
"Santana, Dennis",Texas,RHP,"$720,000 ",,$0 ,$0 
"Solak, Nick",Texas,DH,"$720,000 ",,$0 ,$0 
"Straw, Myles",Cleveland,OF,"$719,900 ",,$0 ,$0 
"Abreu, Bryan",Houston,RHP,"$719,600 ",,$0 ,$0 
"Cabrera, Genesis",St. Louis,LHP,"$719,200 ",,$0 ,$0 
"Knizner, Andrew",St. Louis,C,"$718,300 ",,$0 ,$0 
"Alzolay, Adbert",Chi. Cubs,RHP,"$718,250 ",,$0 ,$0 
"Chisholm Jr., Jazz",Miami,SS,"$718,000 ",,$0 ,$0 
"Espinal, Santiago",Toronto,2B,"$718,000 ",,$0 ,$0 
"Alcala, Jorge",Minnesota,RHP,"$717,900 ",,$0 ,$0 
"Reid-Foley, Sean",N.Y. Mets,RHP,"$717,500 ",,$0 ,$0 
"Coonrod, Samuel",Philadelphia,RHP,"$717,500 ",,$0 ,$0 
"Poppen, Sean",Arizona,RHP,"$717,400 ",,$0 ,$0 
"Mantiply, Joe",Arizona,LHP,"$717,000 ",,$0 ,$0 
"Wieck, Brad",Chi. Cubs,LHP,"$717,000 ",,$0 ,$0 
"Civale, Aaron",Cleveland,RHP,"$716,900 ",,$0 ,$0 
"Alexander, Tyler",Detroit,LHP,"$716,900 ",,$0 ,$0 
"Arozarena, Randy",Tampa Bay,OF,"$716,600 ",,$0 ,$0 
"Madrigal, Nick",Chi. Cubs,2B,"$716,500 ",,$0 ,$0 
"Mullins, Cedric",Baltimore,OF,"$716,500 ",,$0 ,$0 
"Espino, Paolo",Washington,RHP,"$716,200 ",,$0 ,$0 
"Lowe, Nate",Texas,1B,"$716,000 ",,$0 ,$0 
"Houck, Tanner",Boston,RHP,"$716,000 ",,$0 ,$0 
"Sosa, Edmundo",St. Louis,2B,"$715,600 ",,$0 ,$0 
"Bohm, Alec",Philadelphia,3B,"$715,000 ",,$0 ,$0 
"Brogdon, Connor",Philadelphia,RHP,"$715,000 ",,$0 ,$0 
"Bednar, David",Pittsburgh,RHP,"$715,000 ",,$0 ,$0 
"Cederlind, Blake",Pittsburgh,RHP,"$715,000 ",,$0 ,$0 
"Crowe, Wil",Pittsburgh,RHP,"$715,000 ",,$0 ,$0 
"Hayes, Ke'Bryan",Pittsburgh,3B,"$715,000 ",,$0 ,$0 
"Oviedo, Luis",Pittsburgh,RHP,"$715,000 ",,$0 ,$0 
"Peters, Dillon",Pittsburgh,LHP,"$715,000 ",,$0 ,$0 
"Tucker, Cole",Pittsburgh,SS,"$715,000 ",,$0 ,$0 
"Wilson, Bryse",Pittsburgh,RHP,"$715,000 ",,$0 ,$0 
"Dubon, Mauricio",San Francisco,2B,"$715,000 ",,$0 ,$0 
"Estrada, Thairo",San Francisco,2B,"$715,000 ",,$0 ,$0 
"Crochet, Garrett",Chic. White Sox,LHP,"$715,000 ",,$0 ,$0 
"Vaughn, Andrew",Chic. White Sox,1B,"$715,000 ",,$0 ,$0 
"Luzardo, Jesus",Miami,LHP,"$715,000 ",,$0 ,$0 
"Misiewicz, Anthony",Seattle,LHP,"$714,900 ",,$0 ,$0 
"Williams, Devin",Milwaukee,RHP,"$714,500 ",,$0 ,$0 
"Karinchak, James",Cleveland,RHP,"$714,500 ",,$0 ,$0 
"Clase, Emmanuel",Cleveland,RHP,"$714,400 ",,$0 ,$0 
"Fairbanks, Peter",Tampa Bay,RHP,"$714,400 ",,$0 ,$0 
"Whitley, Kodi",St. Louis,RHP,"$714,350 ",,$0 ,$0 
"Woodford, Jake",St. Louis,RHP,"$714,350 ",,$0 ,$0 
"Mize, Casey",Detroit,RHP,"$714,200 ",,$0 ,$0 
"Mendick, Daniel",Chic. White Sox,SS,"$714,000 ",,$0 ,$0 
"Dalbec, Bobby",Boston,3B,"$714,000 ",,$0 ,$0 
"Burke, Brock",Texas,LHP,"$714,000 ",,$0 ,$0 
"Dunning, Dane",Texas,RHP,"$714,000 ",,$0 ,$0 
"Garcia, Adolis",Texas,OF,"$714,000 ",,$0 ,$0 
"Heim, Jonah",Texas,C,"$714,000 ",,$0 ,$0 
"Howard, Spencer",Texas,RHP,"$714,000 ",,$0 ,$0 
"King, John",Texas,LHP,"$714,000 ",,$0 ,$0 
"Sborz, Josh",Texas,RHP,"$714,000 ",,$0 ,$0 
"White, Eli",Texas,SS,"$714,000 ",,$0 ,$0 
"Hernandez, Yadiel",Washington,OF,"$714,000 ",,$0 ,$0 
"Collins, Zack",Toronto,C,"$714,000 ",,$0 ,$0 
"Bubic, Kris",Kansas City,LHP,"$713,750 ",,$0 ,$0 
"Castellanos, Humberto",Arizona,RHP,"$713,700 ",,$0 ,$0 
"Skubal, Tarik",Detroit,LHP,"$713,600 ",,$0 ,$0 
"Kieboom, Carter",Washington,3B,"$713,400 ",,$0 ,$0 
"Jeffers, Ryan",Minnesota,C,"$713,050 ",,$0 ,$0 
"Bender, Anthony",Miami,RHP,"$713,000 ",,$0 ,$0 
"Hays, Austin",Baltimore,OF,"$713,000 ",,$0 ,$0 
"Alcantara, Sergio",Arizona,SS,"$712,500 ",,$0 ,$0 
"Schmidt, Clarke",N.Y. Yankees,RHP,"$712,500 ",,$0 ,$0 
"Murphy, Patrick",Washington,RHP,"$712,500 ",,$0 ,$0 
"Gilbert, Logan",Seattle,RHP,"$712,300 ",,$0 ,$0 
"Rasmussen, Drew",Tampa Bay,RHP,"$711,800 ",,$0 ,$0 
"Swanson, Erik",Seattle,RHP,"$711,600 ",,$0 ,$0 
"Stewart, DJ",Baltimore,OF,"$711,500 ",,$0 ,$0 
"Tate, Dillon",Baltimore,RHP,"$711,500 ",,$0 ,$0 
"Ramirez, Yohan",Seattle,RHP,"$711,400 ",,$0 ,$0 
"McClanahan, Shane",Tampa Bay,LHP,"$711,400 ",,$0 ,$0 
"Brentz, Jacob",Kansas City,LHP,"$711,250 ",,$0 ,$0 
"Merryweather, Julian",Toronto,RHP,"$711,200 ",,$0 ,$0 
"Taylor, Tyrone",Milwaukee,OF,"$711,100 ",,$0 ,$0 
"Sulser, Cole",Miami,RHP,"$711,000 ",,$0 ,$0 
"Mountcastle, Ryan",Baltimore,1B,"$711,000 ",,$0 ,$0 
"Burr, Ryan",Chic. White Sox,RHP,"$711,000 ",,$0 ,$0 
"Foster, Matt",Chic. White Sox,RHP,"$711,000 ",,$0 ,$0 
"Zuber, Tyler",Kansas City,RHP,"$710,500 ",,$0 ,$0 
"Meyers, Jake",Houston,OF,"$710,500 ",,$0 ,$0 
"Chargois, J.T.",Tampa Bay,RHP,"$710,500 ",,$0 ,$0 
"Kirk, Alejandro",Toronto,C,"$710,400 ",,$0 ,$0 
"Haase, Eric",Detroit,C,"$710,400 ",,$0 ,$0 
"Pearson, Nate",Toronto,RHP,"$710,300 ",,$0 ,$0 
"Funkhouser, Kyle",Detroit,RHP,"$710,200 ",,$0 ,$0 
"Bruihl, Justin",L.A. Dodgers,LHP,"$710,000 ",,$0 ,$0 
"Cleavinger, Garrett",L.A. Dodgers,LHP,"$710,000 ",,$0 ,$0 
"White, Mitchell",L.A. Dodgers,RHP,"$710,000 ",,$0 ,$0 
"Criswell, Cooper",L.A. Angels,RHP,"$710,000 ",,$0 ,$0 
"Detmers, Reid",L.A. Angels,LHP,"$710,000 ",,$0 ,$0 
"Marsh, Brandon",L.A. Angels,OF,"$710,000 ",,$0 ,$0 
"Ortega, Oliver",L.A. Angels,RHP,"$710,000 ",,$0 ,$0 
"Rodriguez, Chris",L.A. Angels,RHP,"$710,000 ",,$0 ,$0 
"Rojas, Jose",L.A. Angels,OF,"$710,000 ",,$0 ,$0 
"Warren, Austin",L.A. Angels,RHP,"$710,000 ",,$0 ,$0 
"Blackburn, Paul",Oakland,RHP,"$710,000 ",,$0 ,$0 
"Pache, Cristian",Oakland,OF,"$710,000 ",,$0 ,$0 
"Fraley, Jake",Cincinnati,OF,"$710,000 ",,$0 ,$0 
"Schrock, Max",Cincinnati,2B,"$710,000 ",,$0 ,$0 
"Gomber, Austin",Colorado,LHP,"$710,000 ",,$0 ,$0 
"Rodgers, Brendan",Colorado,2B,"$710,000 ",,$0 ,$0 
"Arauz, Jonathan",Boston,SS,"$710,000 ",,$0 ,$0 
"Valdez, Phillips",Boston,RHP,"$710,000 ",,$0 ,$0 
"Anderson, Ian",Atlanta,RHP,"$710,000 ",,$0 ,$0 
"Contreras, William",Atlanta,C,"$710,000 ",,$0 ,$0 
"Davidson, Tucker",Atlanta,LHP,"$710,000 ",,$0 ,$0 
"Strider, Spencer",Atlanta,RHP,"$710,000 ",,$0 ,$0 
"Mercado, Oscar",Cleveland,OF,"$709,900 ",,$0 ,$0 
"Akin, Keegan",Baltimore,LHP,"$709,500 ",,$0 ,$0 
"Mateo, Jorge",Baltimore,OF,"$709,500 ",,$0 ,$0 
"Baddoo, Akil",Detroit,OF,"$709,400 ",,$0 ,$0 
"Okert, Steven",Miami,LHP,"$709,000 ",,$0 ,$0 
"Sanchez, Jesus",Miami,OF,"$709,000 ",,$0 ,$0 
"Hernandez, Carlos",Kansas City,RHP,"$708,750 ",,$0 ,$0 
"Feyereisen, J.P.",Tampa Bay,RHP,"$708,600 ",,$0 ,$0 
"Kirilloff, Alex",Minnesota,OF,"$708,250 ",,$0 ,$0 
"Machado, Andres",Washington,RHP,"$708,200 ",,$0 ,$0 
"Sherriff, Ryan",Philadelphia,LHP,"$708,000 ",,$0 ,$0 
"Castro, Anthony",Cleveland,RHP,"$707,900 ",,$0 ,$0 
"Gutierrez, Vladimir",Cincinnati,RHP,"$707,500 ",,$0 ,$0 
"Rortvedt, Ben",N.Y. Yankees,C,"$707,500 ",,$0 ,$0 
"Megill, Tylor",N.Y. Mets,RHP,"$707,500 ",,$0 ,$0 
"Bart, Joey",San Francisco,C,"$707,500 ",,$0 ,$0 
"Abreu, Albert",Texas,RHP,"$707,500 ",,$0 ,$0 
"Saucedo, Tayler",Toronto,LHP,"$707,500 ",,$0 ,$0 
"Fleming, Josh",Tampa Bay,LHP,"$707,400 ",,$0 ,$0 
"Patino, Luis",Tampa Bay,RHP,"$707,400 ",,$0 ,$0 
"McKenzie, Triston",Cleveland,RHP,"$707,100 ",,$0 ,$0 
"Hermosillo, Michael",Chi. Cubs,OF,"$707,000 ",,$0 ,$0 
"Gordon, Nick",Minnesota,SS,"$706,800 ",,$0 ,$0 
"Adams, Riley",Washington,C,"$706,700 ",,$0 ,$0 
"Gimenez, Andres",Cleveland,SS,"$706,600 ",,$0 ,$0 
"Gutierrez, Kelvin",Baltimore,3B,"$706,500 ",,$0 ,$0 
"Cousins, Jake",Milwaukee,RHP,"$706,400 ",,$0 ,$0 
"Brosseau, Michael",Milwaukee,2B,"$706,300 ",,$0 ,$0 
"Ober, Bailey",Minnesota,RHP,"$706,200 ",,$0 ,$0 
"Jones, Taylor",Houston,1B,"$706,200 ",,$0 ,$0 
"Kelenic, Jarred",Seattle,OF,"$706,200 ",,$0 ,$0 
"Manoah, Alek",Toronto,RHP,"$706,200 ",,$0 ,$0 
"Ibanez, Andy",Texas,2B,"$706,000 ",,$0 ,$0 
"Nelson, Nick",Philadelphia,RHP,"$706,000 ",,$0 ,$0 
"Rogers, Jake",Detroit,C,"$706,000 ",,$0 ,$0 
"Head, Louis",Miami,RHP,"$706,000 ",,$0 ,$0 
"De La Cruz, Bryan",Miami,OF,"$706,000 ",,$0 ,$0 
"Thompson, Keegan",Chi. Cubs,RHP,"$706,000 ",,$0 ,$0 
"Sheets, Gavin",Chic. White Sox,1B,"$706,000 ",,$0 ,$0 
"Schwindel, Frank",Chi. Cubs,1B,"$705,500 ",,$0 ,$0 
"Kremer, Dean",Baltimore,RHP,"$705,500 ",,$0 ,$0 
"Urias, Ramon",Baltimore,2B,"$705,500 ",,$0 ,$0 
"Zimmermann, Bruce",Baltimore,LHP,"$705,500 ",,$0 ,$0 
"Olivares, Edward",Kansas City,OF,"$705,500 ",,$0 ,$0 
"Chang, Yu-Cheng",Cleveland,3B,"$705,400 ",,$0 ,$0 
"Manning, Matt",Detroit,RHP,"$705,300 ",,$0 ,$0 
"Nootbaar, Lars",St. Louis,OF,"$705,200 ",,$0 ,$0 
"Hiura, Keston",Milwaukee,2B,"$705,100 ",,$0 ,$0 
"Milner, Hoby",Milwaukee,LHP,"$705,100 ",,$0 ,$0 
"Martin, Corbin",Arizona,RHP,"$705,100 ",,$0 ,$0 
"Perez, Cionel",Baltimore,LHP,"$705,000 ",,$0 ,$0 
"Steele, Justin",Chi. Cubs,LHP,"$705,000 ",,$0 ,$0 
"Daza, Yonathan",Colorado,OF,"$705,000 ",,$0 ,$0 
"Goudeau, Ashton",Colorado,RHP,"$705,000 ",,$0 ,$0 
"Hilliard, Sam",Colorado,OF,"$705,000 ",,$0 ,$0 
"Nunez, Dom",Colorado,C,"$705,000 ",,$0 ,$0 
"Sheffield, Jordan",Colorado,RHP,"$705,000 ",,$0 ,$0 
"Castano, Daniel",Miami,LHP,"$705,000 ",,$0 ,$0 
"Reed, Jake",N.Y. Mets,RHP,"$705,000 ",,$0 ,$0 
"Allen, Austin",Oakland,C,"$705,000 ",,$0 ,$0 
"Brown, Seth",Oakland,OF,"$705,000 ",,$0 ,$0 
"Irvin, Cole",Oakland,LHP,"$705,000 ",,$0 ,$0 
"Kaprielian, James",Oakland,RHP,"$705,000 ",,$0 ,$0 
"Puk, A.J.",Oakland,LHP,"$705,000 ",,$0 ,$0 
"Romero, Seth",Washington,LHP,"$705,000 ",,$0 ,$0 
"Fletcher, Aaron",Pittsburgh,LHP,"$705,000 ",,$0 ,$0 
"Kranick, Max",Pittsburgh,RHP,"$705,000 ",,$0 ,$0 
"Mears, Nick",Pittsburgh,RHP,"$705,000 ",,$0 ,$0 
"Park, Hoy Jun",Pittsburgh,OF,"$705,000 ",,$0 ,$0 
"Thompson, Zach",Pittsburgh,RHP,"$705,000 ",,$0 ,$0 
"Yajure, Miguel",Pittsburgh,RHP,"$705,000 ",,$0 ,$0 
"Guerra, Javier",San Diego,RHP,"$704,900 ",,$0 ,$0 
"Hill, Derek",Detroit,OF,"$704,900 ",,$0 ,$0 
"Garcia, Rony",Detroit,RHP,"$704,800 ",,$0 ,$0 
"Baez, Michel",San Diego,RHP,"$704,700 ",,$0 ,$0 
"Morejon, Adrian",San Diego,LHP,"$704,500 ",,$0 ,$0 
"Stubbs, Garrett",Philadelphia,C,"$704,500 ",,$0 ,$0 
"Ashby, Aaron",Milwaukee,LHP,"$704,500 ",,$0 ,$0 
"Wells, Tyler",Baltimore,RHP,"$704,500 ",,$0 ,$0 
"Bukauskas, J.B.",Arizona,RHP,"$704,100 ",,$0 ,$0 
"McKenna, Ryan",Baltimore,OF,"$704,000 ",,$0 ,$0 
"Poteet, Cody",Miami,RHP,"$704,000 ",,$0 ,$0 
"Siri, Jose",Houston,OF,"$704,000 ",,$0 ,$0 
"Vierling, Matt",Philadelphia,OF,"$704,000 ",,$0 ,$0 
"Barlow, Joe",Texas,RHP,"$704,000 ",,$0 ,$0 
"Walls, Taylor",Tampa Bay,SS,"$704,000 ",,$0 ,$0 
"Carlson, Dylan",St. Louis,OF,"$703,800 ",,$0 ,$0 
"Doval, Camilo",San Francisco,RHP,"$703,750 ",,$0 ,$0 
"Long, Sam",San Francisco,LHP,"$703,750 ",,$0 ,$0 
"Lange, Alex",Detroit,RHP,"$703,700 ",,$0 ,$0 
"Lynch, Daniel",Kansas City,LHP,"$703,600 ",,$0 ,$0 
"Gray, Josiah",Washington,RHP,"$703,500 ",,$0 ,$0 
"Stephan, Trevor",Cleveland,RHP,"$703,400 ",,$0 ,$0 
"Mercedes, Yermin",Chic. White Sox,C,"$703,000 ",,$0 ,$0 
"Guenther, Sean",Miami,LHP,"$703,000 ",,$0 ,$0 
"Falter, Bailey",Philadelphia,LHP,"$703,000 ",,$0 ,$0 
"Romero, JoJo",Philadelphia,LHP,"$703,000 ",,$0 ,$0 
"Raleigh, Cal",Seattle,C,"$702,900 ",,$0 ,$0 
"Gose, Anthony",Cleveland,LHP,"$702,900 ",,$0 ,$0 
"Ellis, Drew",Arizona,3B,"$702,900 ",,$0 ,$0 
"Celestino, Gilberto",Minnesota,OF,"$702,850 ",,$0 ,$0 
"Ridings, Stephen",N.Y. Yankees,RHP,"$702,500 ",,$0 ,$0 
"Rucker, Michael",Chi. Cubs,RHP,"$702,500 ",,$0 ,$0 
"Hentges, Sam",Cleveland,LHP,"$702,500 ",,$0 ,$0 
"Garcia, Jose",Cincinnati,SS,"$702,500 ",,$0 ,$0 
"Hendrix, Ryan",Cincinnati,RHP,"$702,500 ",,$0 ,$0 
"Santillan, Antonio",Cincinnati,RHP,"$702,500 ",,$0 ,$0 
"Warren, Art",Cincinnati,RHP,"$702,500 ",,$0 ,$0 
"McCarthy, Jake",Arizona,OF,"$702,400 ",,$0 ,$0 
"Bradley, Bobby",Cleveland,INF,"$702,300 ",,$0 ,$0 
"Topa, Justin",Milwaukee,RHP,"$702,200 ",,$0 ,$0 
"Thompson, Mason",Washington,RHP,"$702,200 ",,$0 ,$0 
"Morgan, Eli",Cleveland,RHP,"$702,100 ",,$0 ,$0 
"Gilbreath, Lucas",Colorado,LHP,"$702,000 ",,$0 ,$0 
"Joe, Connor",Colorado,OF,"$702,000 ",,$0 ,$0 
"Trejo, Alan",Colorado,SS,"$702,000 ",,$0 ,$0 
"Lawrence, Justin",Colorado,RHP,"$702,000 ",,$0 ,$0 
"Crawford, Kutter",Boston,RHP,"$702,000 ",,$0 ,$0 
"Devers, Jose",Miami,SS,"$702,000 ",,$0 ,$0 
"Henry, Payton",Miami,C,"$702,000 ",,$0 ,$0 
"Kowar, Jackson",Kansas City,RHP,"$702,000 ",,$0 ,$0 
"Speier, Gabe",Kansas City,LHP,"$702,000 ",,$0 ,$0 
"Emanuel, Kent",Philadelphia,LHP,"$702,000 ",,$0 ,$0 
"Isbel, Kyle",Kansas City,OF,"$701,900 ",,$0 ,$0 
"Allen, Logan",Cleveland,LHP,"$701,700 ",,$0 ,$0 
"Sandlin, Nick",Cleveland,RHP,"$701,700 ",,$0 ,$0 
"Ryan, Joe",Minnesota,RHP,"$701,650 ",,$0 ,$0 
"Effross, Scott",Chi. Cubs,RHP,"$701,500 ",,$0 ,$0 
"Rivas, Alfonso",Chi. Cubs,1B,"$701,500 ",,$0 ,$0 
"Marchan, Rafael",Philadelphia,C,"$701,500 ",,$0 ,$0 
"Williams, Lucas",San Francisco,3B,"$701,500 ",,$0 ,$0 
"Foley, Jason",Detroit,RHP,"$701,400 ",,$0 ,$0 
"Perdomo, Geraldo",Arizona,SS,"$701,300 ",,$0 ,$0 
"Ruiz, Keibert",Washington,C,"$701,300 ",,$0 ,$0 
"McKay, Brendan",Tampa Bay,LHP,"$701,200 ",,$0 ,$0 
"Baz, Shane",Tampa Bay,RHP,"$701,100 ",,$0 ,$0 
"Miller, Owen",Cleveland,SS,"$701,100 ",,$0 ,$0 
"Beer, Seth",Arizona,1B,"$701,000 ",,$0 ,$0 
"Baumann, Michael",Baltimore,RHP,"$701,000 ",,$0 ,$0 
"Krehbiel, Joseph",Baltimore,RHP,"$701,000 ",,$0 ,$0 
"Lowe, Josh",Tampa Bay,OF,"$701,000 ",,$0 ,$0 
"Jones, Damon",Philadelphia,LHP,"$701,000 ",,$0 ,$0 
"Moniak, Mickey",Philadelphia,OF,"$701,000 ",,$0 ,$0 
"Sanchez, Cristopher",Philadelphia,LHP,"$701,000 ",,$0 ,$0 
"Clement, Ernie",Cleveland,SS,"$700,800 ",,$0 ,$0 
"Coleman, Dylan",Kansas City,RHP,"$700,650 ",,$0 ,$0 
"Baker, Bryan",Baltimore,RHP,"$700,500 ",,$0 ,$0 
"Romero, Jhon",Minnesota,RHP,"$700,400 ",,$0 ,$0 
"Adon, Joan",Washington,RHP,"$700,200 ",,$0 ,$0 
"Brash, Matthew",Seattle,RHP,"$700,100 ",,$0 ,$0 
"Rodriguez, Julio",Seattle,OF,"$700,000 ",,$0 ,$0 
"Festa, Matt",Seattle,RHP,"$700,000 ",,$0 ,$0 
"Fox, Lucius",Washington,SS,"$700,000 ",,$0 ,$0 
"Pallante, Andre",St. Louis,RHP,"$700,000 ",,$0 ,$0 
"Stott, Bryson",Philadelphia,SS,"$700,000 ",,$0 ,$0 
"Castillo, Diego",Pittsburgh,2B,"$700,000 ",,$0 ,$0 
"Wilson, Steven",San Diego,RHP,"$700,000 ",,$0 ,$0 
"Abrams, C.J.",San Diego,SS,"$700,000 ",,$0 ,$0 
"Azocar, Jose",San Diego,OF,"$700,000 ",,$0 ,$0 
"Duran, Jhoan",Minnesota,RHP,"$700,000 ",,$0 ,$0 
"Winder, Josh",Minnesota,RHP,"$700,000 ",,$0 ,$0 
"Acevedo, Domingo",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Bolt, Skye",Oakland,OF,"$700,000 ",,$0 ,$0 
"Honeywell Jr, Brent",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Jefferies, Daulton",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Moll, Sam",Oakland,LHP,"$700,000 ",,$0 ,$0 
"Neuse, Sheldon",Oakland,2B,"$700,000 ",,$0 ,$0 
"Oller, Adam",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Smith, Kevin",Oakland,3B,"$700,000 ",,$0 ,$0 
"Snead, Kirby",Oakland,LHP,"$700,000 ",,$0 ,$0 
"Jackson, Zach",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Jimenez, Dany",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Lemoine, Jake",Oakland,RHP,"$700,000 ",,$0 ,$0 
"Marinaccio, Ron",N.Y. Yankees,RHP,"$700,000 ",,$0 ,$0 
"Sears, J.P.",N.Y. Yankees,LHP,"$700,000 ",,$0 ,$0 
"Gustave, Jandel",Milwaukee,RHP,"$700,000 ",,$0 ,$0 
"Curtiss, John",N.Y. Mets,RHP,"$700,000 ",,$0 ,$0 
"Snider, Collin",Kansas City,RHP,"$700,000 ",,$0 ,$0 
"Witt, Bobby",Kansas City,3B,"$700,000 ",,$0 ,$0 
"Pena, Jeremy",Houston,SS,"$700,000 ",,$0 ,$0 
"Blanco, Ronel",Houston,RHP,"$700,000 ",,$0 ,$0 
"Rodriguez, Elvin",Detroit,RHP,"$700,000 ",,$0 ,$0 
"Torkelson, pencer",Detroit,1B,"$700,000 ",,$0 ,$0 
"Vest, Will",Detroit,RHP,"$700,000 ",,$0 ,$0 
"Nelson, Jimmy",L.A. Dodgers,RHP,"$700,000 ",,$0 ,$0 
"Bautista, Felix",Baltimore,RHP,"$700,000 ",,$0 ,$0 
"Odor, Rougned",Baltimore,2B,"$700,000 ",,$0 ,$0 
"Roberts, Ethan",Chi. Cubs,RHP,"$700,000 ",,$0 ,$0 
"Herrera, Jose",Arizona,C,"$700,000 ",,$0 ,$0 
"Hummel, Cooper",Arizona,OF,"$700,000 ",,$0 ,$0 
"Kwan, Steven",Cleveland,OF,"$700,000 ",,$0 ,$0 
"Lavastida, Bryan",Cleveland,C,"$700,000 ",,$0 ,$0 
"Morris, Cody",Cleveland,RHP,"$700,000 ",,$0 ,$0 
"Pilkington, Konnor",Cleveland,LHP,"$700,000 ",,$0 ,$0 
"Vargas, Carlos",Cleveland,RHP,"$700,000 ",,$0 ,$0 
"Rolison, Ryan",Colorado,LHP,"$700,000 ",,$0 ,$0 
"Diaz, Alexis",Cincinnati,RHP,"$700,000 ",,$0 ,$0 
"Duarte, Daniel",Cincinnati,RHP,"$700,000 ",,$0 ,$0 
"Greene, Hunter",Cincinnati,RHP,"$700,000 ",,$0 ,$0 
"Moreta, Dauri",Cincinnati,RHP,"$700,000 ",,$0 ,$0 
"Sanmartin, Reiver",Cincinnati,LHP,"$700,000 ",,$0 ,$0 
"Garcia, Aramis",Cincinnati,C,"$700,000 ",,$0 ,$0 
"Sousa, Bennett",Chic. White Sox,LHP,"$700,000 ",,$0 ,$0 
"Stiever, Jonathan",Chic. White Sox,RHP,"$700,000 ",,$0 ,$0 
"Banks, Tanner",Chic. White Sox,LHP,"$700,000 ",,$0 ,$0 
"Burger, Jake",Chic. White Sox,3B,"$700,000 ",,$0 ,$0 
